molecule_chembl_id,pic50,units,smiles,similarity,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
15,6360,nM,COc1cc2ncc(C#N)c(Nc3cccc(O)c3)c2cc1OC,0.390243902,321.11134133999997,6,2,3.5728800000000014,True
50,34220,nM,COc1cc2ncc(C(=O)O)c(Nc3cccc(Br)c3)c2cc1OC,0.340425532,402.02151906,5,2,4.456300000000002,True
11,820,nM,COc1cc2ncc(C#N)c(Nc3cccc(N)c3)c2cc1OC,0.333333333,320.127325752,6,2,3.449480000000001,True
48,3150,nM,COc1cc2ncc(C#N)c(Nc3cc(Cl)c(O)c(Cl)c3)c2cc1OC,0.333333333,389.033396636,6,2,4.879680000000003,True
36,9500,nM,COc1cccc(OC(=O)CCCC(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)c1,0.333333333,385.11615194800004,7,0,3.6239000000000026,True
23,350,nM,N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1,0.333333333,354.99563866,5,3,4.023780000000001,True
16,9040,nM,COc1cc2ncc(C#N)c(Nc3ccc(O)c(Cl)c3)c2cc1OC,0.333333333,355.072368988,6,2,4.226280000000002,True
44,69400,nM,COc1cc2ncc(C#N)c(Nc3cccc(NC(C)=O)c3)c2cc1OC,0.326086957,362.13789043599996,6,2,3.825680000000001,True
37,420,nM,O=C(CCCC(=O)Oc1ccc(/C=C/[N+](=O)[O-])cc1)Oc1ccccc1,0.325581395,355.105587264,6,0,3.615300000000002,True
47,17020,nM,COc1cc2ncc(C#N)c(Nc3cc(Cl)ccc3O)c2cc1OC,0.319148936,355.07236898799994,6,2,4.226280000000002,True
51,1000,nM,COc1ccc(OC(=O)CCCC(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,0.311111111,385.11615194800004,7,0,3.6239000000000026,True
28,15170,nM,COc1cc2ncc(C(N)=O)c(Nc3cccc(Br)c3)c2cc1OC,0.306122449,401.03750347199997,5,2,3.857000000000002,True
42,7690,nM,COc1cc2ncc(C#N)c(Nc3cccc(C(N)=O)c3)c2cc1OC,0.304347826,348.12224037199996,6,2,2.9661800000000005,True
45,7380,nM,COc1cc2ncc(C#N)c(Nc3cccc(C(C)=O)c3)c2cc1OC,0.302325581,347.12699140399997,6,1,4.069880000000003,True
54,50490,nM,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1OC,0.302325581,365.137556088,7,1,3.8844800000000026,True
17,14180,nM,COc1cc2ncc(C#N)c(Nc3cccc(C#N)c3)c2cc1OC,0.292682927,330.111675688,6,1,3.7389600000000023,True
2,3370,nM,COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC,0.288888889,386.02660444,5,1,4.570600000000003,True
6,2730,nM,COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC,0.285714286,319.132076784,5,1,4.175700000000003,True
10,62320,nM,COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC,0.279069767,347.163376912,5,1,4.990680000000004,True
40,230,nM,COc1cc2ncc(C#N)c(Nc3ccc(C(C)C)cc3)c2cc1OC,0.279069767,347.163376912,5,1,4.990680000000004,True
25,360,nM,COc1cc2ncc(C#N)c(Nc3ccccc3C(C)C)c2cc1OC,0.279069767,347.163376912,5,1,4.990680000000004,True
31,70840,nM,COc1cc2c(C#N)cnc(Nc3cccc(Br)c3)c2cc1OC.Cl,0.270833333,419.00361649999996,5,1,5.051580000000003,True
5,180,nM,COc1cc2ncc(C#N)c(Nc3cccc(Cl)c3)c2cc1OC,0.266666667,339.07745436799996,5,1,4.520680000000002,True
9,4180,nM,COc1cc2ncc(C#N)c(Nc3ccccc3Br)c2cc1OC,0.266666667,383.02693878799994,5,1,4.629780000000002,True
49,47940,nM,COc1cc2ncc(C#N)c(Nc3ccc(F)cc3)c2cc1OC,0.266666667,323.10700490799996,5,1,4.006380000000003,True
18,190,nM,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,0.266666667,383.02693878799994,5,1,4.629780000000003,True
41,6650,nM,COc1cc2ncc(C#N)c(Nc3ccc(Br)cc3)c2cc1OC,0.266666667,383.02693878799994,5,1,4.629780000000003,True
39,740,nM,COc1cc2ncc(C#N)c(Nc3cccc(F)c3)c2cc1OC,0.266666667,323.10700490799996,5,1,4.006380000000002,True
29,760,nM,COc1cc2ncc(C#N)c(Nc3cccc(SC)c3)c2cc1OC.Cl,0.265306122,387.08082549599993,6,1,5.0109800000000035,True
32,160,nM,COc1cc2ncc(C#N)c(Nc3ccc(F)c(C(F)(F)F)c3)c2cc1OC.Cl,0.265306122,427.07106724799996,5,1,5.446980000000003,True
4,540,nM,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,0.260869565,357.068032556,5,1,4.659780000000002,True
1,88290,nM,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,0.260869565,339.07745436799996,5,1,4.520680000000002,True
24,13850,nM,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3F)c2cc1OC,0.260869565,357.068032556,5,1,4.659780000000002,True
3,1480,nM,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Cl)c3)c2cc1OC,0.260869565,353.09310443199996,5,1,4.829100000000003,True
7,1450,nM,COc1cc2ncc(C#N)c(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.260869565,373.10381134799997,5,1,4.886080000000002,True
20,1790,nM,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Br)c3)c2cc1OC,0.260869565,397.04258885199994,5,1,4.938200000000003,True
12,620,nM,COc1cc2ncc(C#N)c(Nc3ccc(Br)c(C)c3)c2cc1OC,0.260869565,397.04258885199994,5,1,4.938200000000003,True
26,840,nM,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC,0.260869565,397.04258885199994,5,1,4.938200000000003,True
30,850,nM,COc1cc2ncc(C#N)c(Nc3cccc(N(C)C)c3)c2cc1OC.Cl,0.26,384.135303592,6,1,4.355080000000004,True
35,70,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,0.255319149,359.02693878799994,5,1,4.153100000000003,True
53,290,nM,O=C(CCCC(=O)Oc1ccc(/C=C/[N+](=O)[O-])cc1)OCc1ccco1,0.25,359.100501884,7,0,3.3461000000000016,True
21,33020,nM,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,0.244897959,397.04258885199994,5,1,5.019880000000003,True
27,2210,nM,COc1cc2ncc(C#N)c(Nc3cccc(N=[N+]=[N-])c3)c2cc1OC,0.244897959,346.117823688,6,1,4.8090800000000025,True
14,21190,nM,CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,0.244897959,397.04258885200005,5,1,5.019880000000003,True
0,420,nM,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCC,0.244897959,411.05823891599994,5,1,5.409980000000004,True
52,4800,nM,O=C(CCCC(=O)Oc1ccc(/C=C/[N+](=O)[O-])cc1)NCc1ccccc1,0.24137931,368.13722174000003,5,1,3.326100000000002,True
19,6750,nM,COCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCOC,0.240740741,443.04806815599994,7,1,4.577980000000004,True
43,980,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCC,0.24,385.099332684,5,1,5.439980000000003,True
22,870,nM,COc1cc2ncc(C#N)c(Nc3cccc([N+](=O)[O-])c3)c2cc1OC,0.236363636,350.10150492799994,7,1,3.7754800000000026,True
8,1100,nM,COCCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCCOC,0.232142857,471.07936828399994,7,1,4.662980000000004,True
46,5150,nM,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCCCO3,0.22,395.02693878799994,5,1,4.773880000000002,True
33,1100,nM,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,0.21875,436.227454388,6,3,4.858300000000003,True
13,6790,nM,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3,0.204081633,366.99563865999994,5,1,4.341280000000001,True
38,2000,nM,CC(C)O[C@@H]1[C@H](OC(C)C)[C@@H](COC(=O)CCCC(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)O[C@H]1n1cnc2c(N)ncnc21,0.185185185,612.2543767319999,14,1,3.459600000000001,False
34,280,nM,C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,0.079365079,472.20969614800003,5,1,6.993500000000007,True
